,s_id,char_id,text,conventionality,metaphor,pos,relation,rel_id,s_text,doc_id,url,gen_version,compound,complex
0,1-2,4-21,Bundesgerichtshof,O,O,NN,_,_,Der Bundesgerichtshof (BGH) hat am Donnerstag ein weitreichendes Urteil zur sogenannten Mietpreisbremse gefällt.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
1,1-8,35-45,Donnerstag,O,O,NN,_,_,Der Bundesgerichtshof (BGH) hat am Donnerstag ein weitreichendes Urteil zur sogenannten Mietpreisbremse gefällt.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
2,1-10,50-64,weitreichendes,KON,MRW,ADJA,_,_,Der Bundesgerichtshof (BGH) hat am Donnerstag ein weitreichendes Urteil zur sogenannten Mietpreisbremse gefällt.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
3,1-11,65-71,Urteil,O,O,NN,_,_,Der Bundesgerichtshof (BGH) hat am Donnerstag ein weitreichendes Urteil zur sogenannten Mietpreisbremse gefällt.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
4,1-13,76-87,sogenannten,O,O,ADJA,_,_,Der Bundesgerichtshof (BGH) hat am Donnerstag ein weitreichendes Urteil zur sogenannten Mietpreisbremse gefällt.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
5,1-14,88-103,Mietpreisbremse,O,O,NN,_,_,Der Bundesgerichtshof (BGH) hat am Donnerstag ein weitreichendes Urteil zur sogenannten Mietpreisbremse gefällt.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
6,1-15,104-111,gefällt,KON,MRW,VVFIN,_,_,Der Bundesgerichtshof (BGH) hat am Donnerstag ein weitreichendes Urteil zur sogenannten Mietpreisbremse gefällt.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
7,2-2,117-121,Land,O,O,NN,_,_,"Das Land Hessen hatte seine Mietpreisbremse nicht ausreichend begründet, wodurch diese nun aufgehoben wurde.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
8,2-6,141-156,Mietpreisbremse,O,O,NN,_,_,"Das Land Hessen hatte seine Mietpreisbremse nicht ausreichend begründet, wodurch diese nun aufgehoben wurde.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
9,2-8,163-174,ausreichend,O,O,ADJD,_,_,"Das Land Hessen hatte seine Mietpreisbremse nicht ausreichend begründet, wodurch diese nun aufgehoben wurde.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
10,2-9,175-184,begründet,O,O,VVPP,_,_,"Das Land Hessen hatte seine Mietpreisbremse nicht ausreichend begründet, wodurch diese nun aufgehoben wurde.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
11,2-14,204-214,aufgehoben,O,O,VVPP,_,_,"Das Land Hessen hatte seine Mietpreisbremse nicht ausreichend begründet, wodurch diese nun aufgehoben wurde.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
12,3-3,229-238,Verfahren,O,O,NN,_,_,In dem Verfahren klagte ein Vermieter aus Frankfurt am Main gegen die Regelung.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
13,3-4,239-245,klagte,O,O,VVFIN,_,_,In dem Verfahren klagte ein Vermieter aus Frankfurt am Main gegen die Regelung.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
14,3-6,250-259,Vermieter,O,O,NN,_,_,In dem Verfahren klagte ein Vermieter aus Frankfurt am Main gegen die Regelung.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
15,3-13,292-300,Regelung,O,O,NN,_,_,In dem Verfahren klagte ein Vermieter aus Frankfurt am Main gegen die Regelung.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
16,4-7,330-341,notwendigen,O,O,ADJA,_,_,Laut dem BGH hat Hessen die notwendigen Begründungen für die Einführung der Mietpreisbremse nicht detailliert genug geliefert.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
17,4-8,342-354,Begründungen,O,O,NN,_,_,Laut dem BGH hat Hessen die notwendigen Begründungen für die Einführung der Mietpreisbremse nicht detailliert genug geliefert.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
18,4-11,363-373,Einführung,KON,MRW,NN,_,_,Laut dem BGH hat Hessen die notwendigen Begründungen für die Einführung der Mietpreisbremse nicht detailliert genug geliefert.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
19,4-13,378-393,Mietpreisbremse,O,O,NN,_,_,Laut dem BGH hat Hessen die notwendigen Begründungen für die Einführung der Mietpreisbremse nicht detailliert genug geliefert.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
20,4-15,400-411,detailliert,O,O,ADJD,_,_,Laut dem BGH hat Hessen die notwendigen Begründungen für die Einführung der Mietpreisbremse nicht detailliert genug geliefert.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
21,4-17,418-427,geliefert,KON,MRW,VVPP,_,_,Laut dem BGH hat Hessen die notwendigen Begründungen für die Einführung der Mietpreisbremse nicht detailliert genug geliefert.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
22,5-2,433-437,Land,O,O,NN,_,_,"Das Land hatte zwar versucht, eine nachträgliche Begründung nachzuschieben, doch auch diese reichte den Richtern in Karlsruhe nicht aus.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
23,5-5,449-457,versucht,O,O,VVPP,_,_,"Das Land hatte zwar versucht, eine nachträgliche Begründung nachzuschieben, doch auch diese reichte den Richtern in Karlsruhe nicht aus.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
24,5-8,464-477,nachträgliche,O,O,ADJA,_,_,"Das Land hatte zwar versucht, eine nachträgliche Begründung nachzuschieben, doch auch diese reichte den Richtern in Karlsruhe nicht aus.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
25,5-9,478-488,Begründung,O,O,NN,_,_,"Das Land hatte zwar versucht, eine nachträgliche Begründung nachzuschieben, doch auch diese reichte den Richtern in Karlsruhe nicht aus.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
26,5-10,489-503,nachzuschieben,KON,MRW,VVIZU,_,_,"Das Land hatte zwar versucht, eine nachträgliche Begründung nachzuschieben, doch auch diese reichte den Richtern in Karlsruhe nicht aus.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
