Word,Frequency
betonen,12
zeigen,8
sehen,7
Schritt,5
setzen,4
unterstreichen,4
Seite,4
weitreichend,3
Vorstoß,3
kommen,3
Schaden,3
Druck,3
nächster,3
scharf,3
Spannung,3
Reaktion,3
führen,3
sorgen,3
Austritt,3
liefern,2
Eingriff,2
verhindern,2
stark,2
stützen,2
schwer,2
machen,2
erhalten,2
Lager,2
betrachten,2
reagieren,2
verteidigen,2
letzter,2
abschließen,2
lang,2
finden,2
Kampf,2
Ende,2
vorgezogen,2
bringen,2
klar,2
unklar,2
Enthüllung,2
wachsend,2
fällen,1
Einführung,1
nachzuschieben,1
Transparenz,1
einführen,1
steigend,1
erhöhen,1
vorliegend,1
herrschen,1
gehalten,1
Welle,1
Position,1
stärken,1
verdeutlichen,1
hervorrufen,1
befassen,1
behaupten,1
anrichten,1
deutlich,1
Belastung,1
traumatisch,1
angehören,1
Resonanz,1
Kreis,1
Zeichen,1
befinden,1
Anfang,1
Orientierung,1
Auftrieb,1
dramatisch,1
Zusammenstoß,1
Auslöser,1
erschüttern,1
viral,1
auslösen,1
Dramatik,1
spalten,1
brisant,1
anheizen,1
zuspitzen,1
dominieren,1
Teil,1
verhängen,1
Ableger,1
abhängen,1
Austritts,1
fallen,1
Flexibilität,1
bieten,1
zwingen,1
Verlängerung,1
geordnet,1
Klarheit,1
Kurs,1
schaffen,1
stellen,1
erreichen,1
Atmosphäre,1
angespennen,1
Lösung,1
jung,1
Trennung,1
Partnerschaft,1
Wendung,1
auftauchen,1
schroffen,1
verschieben,1
tauziehen,1
unberechenbar,1
Führung,1
nachholen,1
belasten,1
Hintergrund,1
Rahmen,1
Gegenzug,1
abwenden,1
verstärken,1
schließen,1
Landschaft,1
Kapitel,1
einholen,1
Kehrtwende,1
knüpfen,1
aufnehmen,1
Reihe,1
hindeuen,1
drängen,1
einstellen,1
versprechen,1
Verlauf,1
verbinden,1
verhärten,1
Zurückgreift,1
Standpunkt,1
kurz,1
verlassen,1
stoßen,1
ergreifen,1
Stärke,1
entfalten,1
darstellen,1
treiben,1
angespannt,1
Spitze,1
ernst,1
Basis,1
Lösungsansatz,1
signalisieren,1
verbleibend,1
Gewicht,1
nachgeben,1
zurückgehen,1
riesig,1
senken,1
treffen,1
mischen,1
begrüßen,1
hoch,1
verlangen,1
Investition,1
Beitrag,1
