Word,Frequency
"['großen', 'Schritt', 'Richtung']",1
"['klares', 'Signal']",1
"['senden', 'klare', 'Botschaft']",1
"['brach', 'zusammen']",1
"['rief', 'auf']",1
"['klare', 'Begrenzung']",1
"['Blockade', 'überwinden']",1
"['Weg', 'ebnen']",1
"['warf', 'Bord']",1
"['fügt', 'ein']",1
"['lange', 'Liste']",1
"['Zentrum', 'stand']",1
"['stellte', 'ein']",1
"['stellt', 'dar']",1
"['direkte', 'Verbindung']",1
"['steht', 'fest']",1
"['wütenden', 'Comic-Helden']",1
"['wütender', 'stärker']",1
"['warf', 'vor']",1
"['greift', 'zurück']",1
"['Ketten', 'abwerfen']",1
"['Verkehr', 'ziehen']",1
"['klares', 'Signal']",1
