Word,Frequency
betonte,9
sehen,4
Schritt,4
Vorstoß,3
Schaden,3
Druck,3
setzen,3
nächsten,3
unterstreichen,3
Spannungen,3
zeigt,3
Austritt,3
geliefert,2
weitreichende,2
verhindern,2
zeigte,2
schweren,2
Lagern,2
betonen,2
scharfer,2
Reaktionen,2
verteidigen,2
Seiten,2
gesorgt,2
finden,2
Kampf,2
Ende,2
führen,2
Seite,2
vorgezogene,2
bringen,2
gezeigt,2
unklar,2
Enthüllungen,2
weitreichendes,1
gefällt,1
Einführung,1
nachzuschieben,1
Transparenz,1
Eingriffe,1
eingeführt,1
steigenden,1
stark,1
erhöhen,1
vorliegenden,1
herrsche,1
gehaltene,1
Welle,1
Position,1
gestärkt,1
stützen,1
verdeutlichen,1
hervorrufen,1
befassen,1
behaupten,1
kommen,1
anrichten,1
deutlich,1
Belastungen,1
traumatischen,1
gemacht,1
angehört,1
erhält,1
Resonanz,1
kamen,1
Kreisen,1
Eingriff,1
betrachten,1
Zeichen,1
befindet,1
Anfang,1
machen,1
Orientierung,1
Auftrieb,1
erhalten,1
dramatisch,1
Zusammenstoß,1
Auslöser,1
erschüttern,1
viral,1
ausgelöst,1
scharf,1
Dramatik,1
reagierte,1
gespalten,1
brisante,1
angeheizt,1
zuspitzen,1
dominieren,1
letzten,1
geführt,1
abgeschlossen,1
Teil,1
verhängen,1
betrachtet,1
Ableger,1
sieht,1
lange,1
abhängen,1
reagieren,1
abzuschließen,1
Austritts,1
fiel,1
längeren,1
Flexibilität,1
bieten,1
zwang,1
Verlängerung,1
geordneten,1
betont,1
Schritte,1
Klarheit,1
Kurs,1
schaffen,1
stellt,1
erreicht,1
Atmosphäre,1
angespannt,1
Lösung,1
jüngste,1
letzte,1
gesehen,1
Trennung,1
Partnerschaft,1
Wendung,1
auftauchten,1
sorgte,1
schroffen,1
Reaktion,1
klaren,1
verschieben,1
sahen,1
starker,1
setzte,1
Tauziehen,1
unberechenbar,1
Führung,1
nachgeholt,1
belastet,1
Hintergrund,1
Rahmen,1
Gegenzug,1
abzuwenden,1
verstärkt,1
schließt,1
Landschaft,1
Kapitel,1
eingeholt,1
Kehrtwende,1
geknüpft,1
aufzunehmen,1
kommt,1
Reihe,1
hindeuten,1
stützt,1
unterstreicht,1
klarer,1
drängen,1
eingestellt,1
versprechen,1
wachsende,1
Verlauf,1
wachsenden,1
verbunden,1
verhärtet,1
zurückgreift,1
Standpunkte,1
kurzer,1
verlassen,1
stößt,1
ergreifen,1
Stärke,1
entfalten,1
dargestellt,1
treiben,1
angespannte,1
Spitze,1
ernst,1
Basis,1
Lösungsansätze,1
signalisiert,1
verbleibenden,1
zeigen,1
Gewicht,1
nachgeben,1
zurückgegangen,1
riesiges,1
senken,1
treffen,1
gemischt,1
begrüßen,1
hohen,1
verlangen,1
Investition,1
Beitrag,1
