Word,Frequency
groß,5
Ende,3
kommen,3
Verlängerung,3
angespannt,3
drängen,2
machen,2
unklar,2
Druck,2
heilen,2
Anfang,2
Orientierung,2
Teil,2
Eingriff,2
schwer,2
ziehen,2
stehen,2
halten,2
verschieben,2
verhängen,2
verstärken,2
Verschiebung,2
reagieren,2
übergaben,1
sitzen,1
klar,1
rückgehaltenen,1
Verbindung,1
verbinden,1
bekämpfen,1
freigeben,1
bringen,1
verknüpft,1
Zurückhalt,1
sinken,1
Kürze,1
zurückgehen,1
gehen,1
überschwemmen,1
wachsen,1
Schritt,1
sehen,1
zurückdrängen,1
erreichen,1
Krankheit,1
vorlegen,1
aussehen,1
verstießen,1
Leitlinie,1
einsetzen,1
schützen,1
breit,1
zurückfließen,1
Seite,1
Hexenjagd,1
konfrontieren,1
sorgen,1
fallen,1
kurz,1
kämpfen,1
verlassen,1
durchbekommen,1
Tisch,1
durchziehen,1
Turbulenz,1
Anstieg,1
eindämmen,1
Instrument,1
Schmerzhaft,1
liegen,1
einsteigen,1
Nachgeschobener,1
abzeichnen,1
folgen,1
Linie,1
fehlend,1
Punkt,1
Grund,1
vorliegen,1
bloß,1
verlangen,1
mildern,1
gegenläufig,1
abgewogen,1
betonen,1
stoppen,1
zerstören,1
enden,1
angeführten,1
Kraft,1
eintren,1
zurücknehmen,1
ausschließen,1
errichten,1
Quelle,1
betrachten,1
stoßen,1
befinden,1
Netzwerke,1
geteilen,1
Ausbruch,1
Welle,1
Zusammenstoß,1
legen,1
strichen,1
Auslöser,1
Rand,1
provozieren,1
erodieren,1
Freiheit,1
Rückgabe,1
Kampf,1
unterstreichen,1
führen,1
umgehen,1
buntere,1
gediegen,1
geraten,1
rausgehen,1
Blick,1
zeigen,1
streichen,1
Hintergrund,1
inszenieren,1
Auszug,1
attackieren,1
Lager,1
Aushängeschild,1
Basis,1
ersparen,1
direkt,1
Farce,1
spielen,1
beleidigen,1
Vorstoß,1
Agenda,1
