Word,Frequency
Ende,3
Verlängerung,3
großen,2
Druck,2
Anfang,2
Orientierung,2
Teil,2
kommt,2
schweren,2
halten,2
angespannte,2
Verschiebung,2
übergaben,1
sitzen,1
klar,1
Drängen,1
zurückgehaltenen,1
Verbindung,1
verbunden,1
bekämpfen,1
freigegeben,1
brachte,1
verknüpfte,1
machte,1
zurückhalten,1
macht,1
Unklar,1
größten,1
sinke,1
Kürze,1
zurückgegangen,1
gingen,1
überschwemmt,1
wächst,1
Schritt,1
gesehen,1
zurückgedrängt,1
erreichen,1
Krankheit,1
heilen,1
vorzulegen,1
aussehen,1
drängen,1
verstießen,1
Leitlinien,1
eingesetzt,1
Eingriffe,1
Eingriff,1
schütze,1
breite,1
gezogen,1
zurückfließen,1
stand,1
Seite,1
Hexenjagd,1
konfrontiert,1
sorgt,1
fiel,1
kurzen,1
kämpfen,1
verlassen,1
durchzubekommen,1
Tisch,1
durchziehen,1
Turbulenzen,1
verschoben,1
Anstieg,1
einzudämmen,1
Instrument,1
schmerzhaft,1
groß,1
liegen,1
eingestiegen,1
nachgeschobener,1
geheilt,1
abgezeichnet,1
folgt,1
Linie,1
fehlender,1
Punkt,1
Grund,1
angespannten,1
vorliegt,1
bloße,1
verlange,1
mildern,1
gegenläufigen,1
abgewogen,1
betonte,1
gestoppt,1
zerstört,1
enden,1
angeführten,1
Kräfte,1
unklar,1
verhängen,1
eintrete,1
verhängte,1
zurücknehmen,1
ausgeschlossen,1
errichten,1
Quelle,1
betrachtet,1
gestoßen,1
befand,1
Netzwerken,1
geteilten,1
Ausbruch,1
Welle,1
Zusammenstöße,1
legten,1
strichen,1
Auslöser,1
verstärkt,1
Rande,1
gekommen,1
provozieren,1
verstärkte,1
erodiert,1
Freiheit,1
Rückgabe,1
Kampf,1
unterstrichen,1
führen,1
umgehen,1
bunteren,1
gediegener,1
gerät,1
rausgehen,1
Blick,1
zeigte,1
große,1
streichen,1
Hintergrund,1
inszeniert,1
Auszug,1
attackiert,1
Lagers,1
Aushängeschild,1
Basis,1
verschieben,1
erspart,1
direkt,1
reagierte,1
reagierten,1
Farce,1
spiele,1
beleidigte,1
Vorstoß,1
stehe,1
Agenda,1
zieht,1
