url,DFMA,METAPHOR,O,gen_type
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805,0.0,17.36,82.64,human
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805_1a,0.0,29.1,70.9,gpt4o
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805_1a,0.72,15.11,84.17,gpt3-5
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091,0.0,24.56,75.44,human
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091_1a,0.0,28.28,71.72,gpt4o
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091_1a,0.0,34.11,65.89,gpt3-5
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284,0.61,12.12,87.27,human
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284_1a,1.73,23.12,75.14,gpt4o
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284_1a,1.18,21.89,76.92,gpt3-5
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866,0.0,15.65,84.35,human
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866_1a,2.19,15.33,82.48,gpt4o
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866_1a,0.0,18.88,81.12,gpt3-5
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326,2.48,11.8,85.71,human
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326_1a,2.23,11.73,86.03,gpt4o
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326_1a,0.6,13.77,85.63,gpt3-5
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623,0.0,14.37,85.62,human
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623_1a,0.0,13.33,86.67,gpt3-5
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623_1a,0.63,17.61,81.76,gpt4o
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837,0.0,6.38,93.62,human
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837_1a,0.0,12.5,87.5,gpt3-5
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837_1a,0.64,11.54,87.82,gpt4o
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611,1.64,13.11,85.25,human
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611_1a,0.0,24.17,75.83,gpt3-5
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611_1a,0.0,17.65,82.35,gpt4o
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858,1.59,13.49,84.92,human
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858_1a,1.63,23.58,74.8,gpt3-5
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858_1a,0.0,15.69,84.31,gpt4o
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310,1.55,20.16,78.29,human
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,1.27,14.01,84.71,gpt3-5
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,1.44,16.55,82.01,gpt4o
