url,METAPHOR,O,gen_type
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805,17.36,82.64,human
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805_1a,29.1,70.9,gpt4o
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805_1a,15.22,84.78,gpt3-5
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091,24.56,75.44,human
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091_1a,28.28,71.72,gpt4o
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091_1a,34.11,65.89,gpt3-5
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284,12.2,87.8,human
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284_1a,23.53,76.47,gpt4o
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284_1a,22.16,77.84,gpt3-5
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866,15.65,84.35,human
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866_1a,15.67,84.33,gpt4o
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866_1a,18.88,81.12,gpt3-5
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326,12.1,87.9,human
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326_1a,12.0,88.0,gpt4o
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326_1a,13.86,86.14,gpt3-5
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623,14.37,85.62,human
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623_1a,13.33,86.67,gpt3-5
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623_1a,17.72,82.28,gpt4o
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837,6.38,93.62,human
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837_1a,12.5,87.5,gpt3-5
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837_1a,11.61,88.39,gpt4o
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611,13.33,86.67,human
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611_1a,24.17,75.83,gpt3-5
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611_1a,17.65,82.35,gpt4o
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858,13.71,86.29,human
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858_1a,23.97,76.03,gpt3-5
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858_1a,15.69,84.31,gpt4o
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310,20.47,79.53,human
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,14.19,85.81,gpt3-5
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,16.79,83.21,gpt4o
