url,DFMA,KOMPL,MRW,MRW\_DIR,O,PERS,WIDLII,gen_type
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805,0.0,1.65,14.05,0.0,82.64,0.0,1.65,human
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805_1a,0.72,0.72,13.67,0.0,84.17,0.0,0.72,gpt3-5
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805_1a,0.0,2.24,22.39,0.0,70.9,1.49,2.99,gpt4o
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091,0.0,7.02,15.79,0.0,75.44,0.0,1.75,human
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091_1a,0.0,3.88,25.58,0.78,65.89,1.55,2.33,gpt3-5
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091_1a,0.0,2.76,18.62,0.0,71.72,2.76,4.14,gpt4o
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284,0.61,0.0,9.7,0.0,87.27,1.21,1.21,human
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284_1a,1.18,2.96,11.24,0.0,76.92,6.51,1.18,gpt3-5
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284_1a,1.73,1.73,14.45,0.0,75.14,5.78,1.16,gpt4o
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866,0.0,0.0,13.04,0.0,84.35,0.87,1.74,human
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866_1a,0.0,0.0,15.38,0.0,81.12,2.1,1.4,gpt3-5
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866_1a,2.19,0.0,11.68,0.0,82.48,0.73,2.92,gpt4o
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326,2.48,0.0,9.32,0.0,85.71,1.86,0.62,human
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326_1a,0.6,0.6,9.58,0.0,85.63,2.4,1.2,gpt3-5
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326_1a,2.23,1.12,7.82,0.0,86.03,1.12,1.68,gpt4o
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623,0.0,0.0,12.5,0.0,85.62,0.62,1.25,human
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623_1a,0.63,0.0,13.21,0.0,81.76,1.89,2.52,gpt4o
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623_1a,0.0,1.82,8.48,0.0,86.67,1.82,1.21,gpt3-5
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837,0.0,0.0,4.26,0.0,93.62,0.0,2.13,human
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837_1a,0.0,0.66,9.87,0.0,87.5,1.97,0.0,gpt3-5
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837_1a,0.64,0.64,8.97,0.0,87.82,1.28,0.64,gpt4o
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611,1.64,0.0,11.48,0.0,85.25,0.82,0.82,human
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611_1a,0.0,1.47,13.97,0.0,82.35,1.47,0.74,gpt4o
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611_1a,0.0,0.0,17.5,0.83,75.83,5.0,0.83,gpt3-5
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858,1.59,1.59,10.32,0.0,84.92,0.0,1.59,human
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858_1a,1.63,3.25,14.63,0.0,74.8,3.25,2.44,gpt3-5
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858_1a,0.0,0.65,11.76,0.0,84.31,2.61,0.65,gpt4o
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310,1.55,0.0,15.5,0.0,78.29,3.88,0.78,human
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,1.27,0.0,12.1,0.0,84.71,1.27,0.64,gpt3-5
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,1.44,0.0,15.83,0.0,82.01,0.72,0.0,gpt4o
