url,KOMPL,MRW,O,PERS,WIDLII,gen_type,MRW\_DIR
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805,1.65,14.05,82.64,0.0,1.65,human,0.0
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805_1a,2.24,22.39,70.9,1.49,2.99,gpt4o,0.0
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805_1a,0.72,13.77,84.78,0.0,0.72,gpt3-5,0.0
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091,7.02,15.79,75.44,0.0,1.75,human,0.0
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091_1a,2.76,18.62,71.72,2.76,4.14,gpt4o,0.0
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091_1a,3.88,25.58,65.89,1.55,2.33,gpt3-5,0.78
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284,0.0,9.76,87.8,1.22,1.22,human,0.0
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284_1a,1.76,14.71,76.47,5.88,1.18,gpt4o,0.0
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284_1a,2.99,11.38,77.84,6.59,1.2,gpt3-5,0.0
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866,0.0,13.04,84.35,0.87,1.74,human,0.0
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866_1a,0.0,11.94,84.33,0.75,2.99,gpt4o,0.0
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866_1a,0.0,15.38,81.12,2.1,1.4,gpt3-5,0.0
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326,0.0,9.55,87.9,1.91,0.64,human,0.0
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326_1a,1.14,8.0,88.0,1.14,1.71,gpt4o,0.0
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326_1a,0.6,9.64,86.14,2.41,1.2,gpt3-5,0.0
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623,0.0,12.5,85.62,0.62,1.25,human,0.0
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623_1a,1.82,8.48,86.67,1.82,1.21,gpt3-5,0.0
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623_1a,0.0,13.29,82.28,1.9,2.53,gpt4o,0.0
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837,0.0,4.26,93.62,0.0,2.13,human,0.0
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837_1a,0.66,9.87,87.5,1.97,0.0,gpt3-5,0.0
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837_1a,0.65,9.03,88.39,1.29,0.65,gpt4o,0.0
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611,0.0,11.67,86.67,0.83,0.83,human,0.0
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611_1a,0.0,17.5,75.83,5.0,0.83,gpt3-5,0.83
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611_1a,1.47,13.97,82.35,1.47,0.74,gpt4o,0.0
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858,1.61,10.48,86.29,0.0,1.61,human,0.0
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858_1a,3.31,14.88,76.03,3.31,2.48,gpt3-5,0.0
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858_1a,0.65,11.76,84.31,2.61,0.65,gpt4o,0.0
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310,0.0,15.75,79.53,3.94,0.79,human,0.0
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,0.0,12.26,85.81,1.29,0.65,gpt3-5,0.0
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,0.0,16.06,83.21,0.73,0.0,gpt4o,0.0
